Gen,Gewebe,Zeitpunkt,RPKM,Gen_ID,Zeit_Nr,Chromosom,Beschreibung
TBP,Brain,10wpc,15.3972449952292,ENSG00000112592,7,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,11wpc,13.704225969018,ENSG00000112592,8,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,12wpc,13.9981262319713,ENSG00000112592,9,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,13wpc,12.216721935824033,ENSG00000112592,10,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,16wpc,14.21868777239375,ENSG00000112592,11,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,18wpc,13.8985399787602,ENSG00000112592,12,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,19wpc,13.226154680050133,ENSG00000112592,13,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,20wpc,11.63005717601138,ENSG00000112592,14,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,4wpc,13.5585523130447,ENSG00000112592,1,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,5wpc,13.70606968737895,ENSG00000112592,2,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,7wpc,13.680091737579968,ENSG00000112592,4,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,8wpc,13.003410517477,ENSG00000112592,5,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,9wpc,14.499802197524133,ENSG00000112592,6,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,infant,15.1285430286067,ENSG00000112592,16,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
TBP,Brain,newborn,9.400843242561704,ENSG00000112592,15,6,TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]
