"","model_id","sample_id","patient_id","parent_id","model_name","synonyms","tissue","cancer_type","cancer_type_ncit_id","tissue_status","sample_site","cancer_type_detail","model_type","growth_properties","model_treatment","sampling_day","sampling_month","sampling_year","doi","pmed","msi_status","ploidy_snp6","ploidy_wes","ploidy_wgs","mutational_burden","model_comments","model_relations_comment","COSMIC_ID","BROAD_ID","CCLE_ID","RRID","HCMI","suppliers","supplier","cat_number","species","gender","ethnicity","age_at_sampling","family_history_of_cancer","prior_same_malignancy","prior_other_malignancy","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","patient_history_of_gastrointestinal_disorder","gastrointestinal_disorder_diagnosed","prior_synchronous_colon_rectal_tumours","history_prior_colon_polyps","previous_current_barretts_oesophagus","reflux_disease_prior","reflux_disease_treatment","h_pylori_infection","history_clinical_chronic_pancreatitis","tumour_grade","tnm_integrated","tnm_t","tnm_n","tnm_m","clinical_staging","metastasis_at_diagnosis","metastatic_site_at_diagnosis","method_procurement","sample_treatment","sample_treatment_details","radiation_type","prior_therapy_outcome","tumour_regression_score","colon_polyps_present_at_time_of_tissue_collection","venous_invasion_present","venous_invasion_type","lymphatic_invasion_present","perineural_invasion_present","gastric_oesophageal_junction","barretts_goblet_cells_present","oesophageal_columnar_metaplasia","goblet_cells_oesophageal_columnar_mucosa","degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa","peripancreatic_lymph_nodes_tested_surgery","number_positive_peripancreatic_lymph_nodes","mlh1_expression_by_ihc","mlh1_promoter_methylation_status","msh2_expression_by_ihc","pms2_expression_by_ihc","msh6_expression_by_ihc","braf_mutation_identified","braf_expression_by_ihc","pik3ca_mutation_identified","pten_expression_by_ihc","pten_mutation_identified","kras_mutation_identified","mismatch_repair_status","preoperative_ce_alevel","crispr_ko_data"
"19","SIDM00990","SIDS00455","SIDP00392","","BEN","","Lung","Non-Small Cell Lung Carcinoma","C2926","Metastasis","Supraclavicular lymph node","Non-Small Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.606117968,3.92186282493958,NA,54.82,"","","753534","ACH-000603","BEN_LUNG","CVCL_1082","","DSMZ:ACC-254","DSMZ","ACC-254","Homo sapiens","Male","Unknown","71.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"29","SIDM00046","SIDS00737","SIDP00661","","H3255","NCI-H3255;H3255_DA","Lung","Non-Small Cell Lung Carcinoma","C3512","Unknown","Unknown","Lung Adenocarcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.513398136,4.16909394259762,NA,23.24,"","","1247873","ACH-000109","NCIH3255_LUNG","CVCL_6831","","Unknown:Unknown","Unknown","Unknown","Homo sapiens","Female","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"34","SIDM00296","SIDS00682","SIDP00609","","LU134A","NCC-c-Lu-134-A-H","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Lung","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",2.513269321,2.5808544038307,NA,52.08,"","Lines LU-134-A and LU-134-B have been shown to be related (RIKEN).","753588","ACH-002051","LU134A_LUNG","CVCL_1387","","RIKEN:RCB0466","RIKEN","RCB0466","Homo sapiens","Male","East Asian","80.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"37","SIDM01163","SIDS00392","SIDP00336","","SW1573","","Lung","Non-Small Cell Lung Carcinoma","C2923","Tumour","Unknown","Bronchiolo-Alveolar Lung Carcinoma","Cell Line","Adherent","","None","None","1977","",NA,"MSS",3.32176115,3.46379007999857,NA,29.92,"","","724878","ACH-000677","SW1573_LUNG","CVCL_1720","","ATCC:CRL-2170","ATCC","CRL-2170","Homo sapiens","Female","White","44.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"40","SIDM01183","SIDS00421","SIDP00363","","UMC11","NCI-UMC-11","Lung","Other Solid Cancers","C4038","Tumour","Unknown","Lung Carcinoid Tumor","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.323367182,2.43057813183901,NA,45.63,"","","909779","ACH-001417","UMC11_LUNG","CVCL_1784","","ATCC:CRL-5975","ATCC","CRL-5975","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"57","SIDM00486","SIDS00955","SIDP00855","","EBC1","EBC-1/original","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Unknown","Squamous Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.794422894,3.02925893522573,NA,39.37,"","","753554","ACH-000563","EBC1_LUNG","CVCL_2891","","JCRB:JCRB0820","JCRB","JCRB0820","Homo sapiens","Male","Unknown","69.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"58","SIDM01044","SIDS00511","SIDP00447","","EPLC272H","","Lung","Other Solid Cancers","C45544","Tumour","Lung","Lung Mucoepidermoid Carcinoma","Cell Line","Adherent","","None","None","1986","",NA,"MSS",3.008359073,3.00673090741692,NA,51.03,"","","753556","ACH-000585","EPLC272H_LUNG","CVCL_1197","","DSMZ:ACC-383","DSMZ","ACC-383","Homo sapiens","Male","White","57.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"63","SIDM00133","SIDS00820","SIDP00733","","HOP62","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.867374567,3.12751407451574,NA,86.05,"","","905972","ACH-000861","HOP62_LUNG","CVCL_1285","","NCI:HOP-62","NCI","HOP-62","Homo sapiens","Female","Unknown","6.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"70","SIDM00724","SIDS00293","SIDP00240","","NCIH2405","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Ascites","Lung Adenocarcinoma","Cell Line","Semi-Adherent","","None","9","1990","",NA,"MSS",3.714135156,1.90945638526487,NA,24.13,"","","687821","ACH-000121","NCIH2405_LUNG","CVCL_1551","","ATCC:CRL-5944","ATCC","CRL-5944","Homo sapiens","Male","White","47.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"71","SIDM00719","SIDS00298","SIDP00245","","NCIH345","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Bone marrow","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","None","1981","",NA,"MSS",2.695645242,2.75662020272735,NA,85.89,"","","688021","ACH-001364","NCIH345_LUNG","CVCL_1558","","ATCC:HTB-180","ATCC","HTB-180","Homo sapiens","Male","White","64.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
